chapter,chapter_title,municipality,municipality_type,sections,boundary_sections,status
001,City of Barre,Barre,City,89,1,ok
003,City of Burlington,Burlington,City,362,13,ok
004,City of Essex Junction,Essex Junction,City,52,3,ok
005,City of Montpelier,Montpelier,City,150,3,ok
007,City of Newport,Newport,City,43,2,ok
009,City of Rutland,Rutland,City,160,2,ok
011,City of St. Albans,St. Albans,City,35,2,ok
013,City of South Burlington,South Burlington,City,67,3,ok
015,City of Vergennes,Vergennes,City,39,3,ok
017,City of Winooski,Winooski,City,11,0,ok
019,City of Winooski,Winooski,City,81,1,ok
101,Town of Barre,Barre,Town,51,0,ok
103,Town of Bennington,Bennington,Town,39,1,ok
105,Town of Berlin,Berlin,Town,28,1,ok
106,Town of Bradford,Bradford,Town,20,1,ok
106B,Town of Brandon,Brandon,Town,2,0,ok
107,Town of Brattleboro,Brattleboro,Town,53,0,ok
107A,Town of Bridport,Bridport,Town,4,0,ok
108,Town of Bristol,Bristol,Town,8,0,ok
108C,Town of Calais,Calais,Town,5,0,ok
109,Town of Cavendish,Cavendish,Town,23,0,ok
110,Town of Charlotte,Charlotte,Town,1,0,ok
111,Town of Chester,Chester,Town,15,2,ok
113,Town of Colchester,Colchester,Town,57,3,ok
114,Town of Danville,Danville,Town,1,0,ok
114E,Town of East Montpelier,East Montpelier,Town,9,0,ok
114G,Town of Elmore,Elmore,Town,1,0,ok
115,Town of Enosburgh,Enosburgh,Town,1,0,ok
117,Town of Essex,Essex,Town,80,2,ok
119,Town of Ferrisburgh,Ferrisburgh,Town,4,0,ok
120,Town of Franklin,Franklin,Town,4,0,ok
123,Town of Hardwick,Hardwick,Town,65,3,ok
123A,Town of Hartford,Hartford,Town,10,0,ok
123B,Town of Jamaica,Jamaica,Town,22,1,ok
124,Town of Jericho,Jericho,Town,10,0,ok
125,Town of Ludlow,Ludlow,Town,2,0,ok
126,Town of Lyndon,Lyndon,Town,55,1,ok
127,Town of Middlebury,Middlebury,Town,63,4,ok
129,Town of Milton,Milton,Town,63,1,ok
129B,Town of Montgomery,Montgomery,Town,5,0,ok
129C,Town of Morristown,Morristown,Town,3,1,ok
129D,Town of Northfield,Northfield,Town,10,0,ok
129F,Town of Panton,Panton,Town,4,0,ok
131,Town of Plainfield,Plainfield,Town,49,2,ok
133,Town of Poultney,Poultney,Town,36,0,ok
141,Town of Readsboro,Readsboro,Town,17,0,ok
142,Town of Richford,Richford,Town,26,0,ok
143,Town of Richmond,Richmond,Town,42,2,ok
145,Town of Royalton,Royalton,Town,1,0,ok
146,Town of Salisbury,Salisbury,Town,3,0,ok
147,Town of Shelburne,Shelburne,Town,40,3,ok
148,Town of South Hero,South Hero,Town,7,0,ok
149,Town of Springfield,Springfield,Town,33,0,ok
150,Town of St. Albans,St. Albans,Town,5,1,ok
151,Town of St. Johnsbury,St. Johnsbury,Town,48,1,ok
153,Town of Stowe,Stowe,Town,47,3,ok
155,Town of Underhill,Underhill,Town,14,1,ok
