district_name,town,district_type,services,population,districts_in_town,single_district_town,has_legal_charter,matched_pwsid,matched_pws_name,match_score,match_status,has_service_polygon,political_bnd_proxy
Alburgh Fire District 1,Alburgh,Fire District,Water,87,2,FALSE,FALSE,VT0005137,ALBURGH FIRE DISTRICT 1,100,auto_confident,Y,
South Alburgh Fire District 2,Alburgh,Fire District,Water,300,2,FALSE,FALSE,,,,,,
Bakersfield Fire District 1,Bakersfield,Fire District,Water,446,1,TRUE,FALSE,VT0005114,BAKERSFIELD FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy
Barnet Fire District 2,Barnet,Fire District,Water,205,3,FALSE,FALSE,VT0005029,BARNET FIRE DISTRICT #2,100,auto_confident,Y,
McIndoe Falls Fire District 3,Barnet,Fire District,Water,176,3,FALSE,FALSE,VT0005441,MCINDOE FALLS FIRE DISTRICT 3,100,auto_confident,Y,
Passumpsic Fire District 1,Barnet,Fire District,Water,140,3,FALSE,FALSE,VT0005031,PASSUMPSIC FIRE DISTRICT 1,100,auto_confident,Y,
Graniteville Fire District 4,Barre Town,Fire District,Water,700,1,TRUE,FALSE,VT0005248,GRANITEVILLE FIRE DISTRICT 4,100,auto_confident,Y,service_area_proxy
East Berkshire Fire District 1,Berkshire,Fire District,Water,184,1,TRUE,FALSE,VT0005115,EAST BERKSHIRE FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy
Brandon Fire District 1,Brandon,Fire District,Water,3963,1,TRUE,FALSE,VT0005211,BRANDON FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy
Burke Fire District 1,Burke,Fire District,Water,142,1,TRUE,FALSE,VT0005033,BURKE FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy
East Calais Fire District 1,Calais,Fire District,Water,200,1,TRUE,FALSE,VT0005262,EAST CALAIS FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy
Canaan Fire District 2,Canaan,Fire District,Water,350,2,FALSE,FALSE,VT0005107,CANAAN FD #2,100,auto_confident,Y,
Canaan Fire District 1,Canaan,Fire District,Water,970,2,FALSE,FALSE,VT0005106,CANAAN FIRE DISTRICT 1,100,auto_confident,Y,
Castleton Fire District 1,Castleton,Fire District,Water,1940,2,FALSE,FALSE,VT0005212,CASTLETON FIRE DISTRICT 1,100,auto_confident,Y,
Castleton Fire District 3,Castleton,Fire District,Water,500,2,FALSE,FALSE,VT0020889,CASTLETON FIRE DISTRICT 3,100,auto_confident,Y,
Colchester Fire District 2,Colchester,Fire District,Water,8300,1,TRUE,FALSE,VT0005059,COLCHESTER FIRE DISTRICT 2,100,auto_confident,Y,service_area_proxy
Coventry Fire District 1,Coventry,Fire District,Water,251,1,TRUE,FALSE,VT0005191,COVENTRY FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy
Craftsbury Fire District 2,Craftsbury,Fire District,Water,420,1,TRUE,FALSE,VT0005194,CRAFTSBURY FIRE DISTRICT 2,100,auto_confident,Y,service_area_proxy
Danby Mount Tabor Fire District 1,Danby,Fire District,Water,385,1,TRUE,FALSE,VT0005217,DANBY MOUNT TABOR F D 1,93.33333333333333,auto_confident,Y,service_area_proxy
Danville Fire District 1,Danville,Fire District,Water,500,1,TRUE,FALSE,VT0005037,DANVILLE FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy
Dorset Fire District 1,Dorset,Fire District,Water,530,2,FALSE,FALSE,VT0005020,DORSET FIRE DISTRICT 1,100,auto_confident,Y,
East Dorset Fire District 1,Dorset,Fire District,Water,192,2,FALSE,FALSE,VT0005021,EAST DORSET FIRE DISTRICT 1,100,auto_confident,Y,
