District Name,Town,District Type,Services,Population,Districts In Town,Single District Town,Has Legal Charter,Matched Pwsid,Matched Pws Name,Match Score,Match Status,Has Service Polygon,Political Bnd Proxy,Website,Contact Info
Alburgh Fire District 1,Alburgh,Fire District,Water,87,2,FALSE,FALSE,VT0005137,ALBURGH FIRE DISTRICT 1,100,auto_confident,Y,,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005137 in VT DEC Drinking Water Watch | Contact via Town of Alburgh: 802-796-3468
South Alburgh Fire District 2,Alburgh,Fire District,Water,300,2,FALSE,FALSE,,,,,,,,No PWSID match on file | Contact via Town of Alburgh: 802-796-3468
Bakersfield Fire District 1,Bakersfield,Fire District,Water,446,1,TRUE,FALSE,VT0005114,BAKERSFIELD FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005114 in VT DEC Drinking Water Watch | Contact via Town of Bakersfield: 802-827-3261
Barnet Fire District 2,Barnet,Fire District,Water,205,3,FALSE,FALSE,VT0005029,BARNET FIRE DISTRICT #2,100,auto_confident,Y,,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005029 in VT DEC Drinking Water Watch | Contact via Town of Barnet: 802-633-4455
McIndoe Falls Fire District 3,Barnet,Fire District,Water,176,3,FALSE,FALSE,VT0005441,MCINDOE FALLS FIRE DISTRICT 3,100,auto_confident,Y,,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005441 in VT DEC Drinking Water Watch | Contact via Town of Barnet: 802-633-4455
Passumpsic Fire District 1,Barnet,Fire District,Water,140,3,FALSE,FALSE,VT0005031,PASSUMPSIC FIRE DISTRICT 1,100,auto_confident,Y,,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005031 in VT DEC Drinking Water Watch | Contact via Town of Barnet: 802-633-4455
Graniteville Fire District 4,Barre Town,Fire District,Water,700,1,TRUE,FALSE,VT0005248,GRANITEVILLE FIRE DISTRICT 4,100,auto_confident,Y,service_area_proxy,,"Phone: 802-479-9155 | Email: jenmalnati@yahoo.com | PO Box 206, Graniteville VT 05654 | Contact: Jen Malnati 802-272-8756"
East Berkshire Fire District 1,Berkshire,Fire District,Water,184,1,TRUE,FALSE,VT0005115,EAST BERKSHIRE FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005115 in VT DEC Drinking Water Watch | Contact via Town of Berkshire: 802-524-6166
Brandon Fire District 1,Brandon,Fire District,Water,3963,1,TRUE,FALSE,VT0005211,BRANDON FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy,https://brandonfiredistrict.org,"Phone: 802-247-3311 | 58 Franklin St, Brandon VT 05733 | Water emergency: 802-247-3311"
Burke Fire District 1,Burke,Fire District,Water,142,1,TRUE,FALSE,VT0005033,BURKE FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005033 in VT DEC Drinking Water Watch | Contact via Town of Burke: 802-626-5585
