district_name,doc_type,title,url,adopted,source_page,notes
Brandon Fire District 1,bylaws,View Our Bylaws,https://brandonfiredistrict.org/wp-content/uploads/2023/07/Fire-District-Bylaws-as-of-Jan092023-1.pdf,,https://brandonfiredistrict.org/,Found by automated discovery on the district's own website.
Brandon Fire District 1,policy,View Our Policies,https://brandonfiredistrict.org/wp-content/uploads/2023/09/Brandon-Fire-District-No-1-Policies.pdf,,https://brandonfiredistrict.org/,Found by automated discovery on the district's own website.
Castleton Fire District 1,ordinance,Castleton Fire District No. 1 Water Ordinance,https://www.castletonvermont.org/sites/g/files/vyhlif376/f/uploads/cfd1_water_ordinance.pdf,2014-04,https://www.castletonvermont.org/home/pages/castleton-fire-district-1,Governs use of the municipal water system; cites 24 V.S.A. ch. 89 s. 3315. Supersedes all previous rules.
Castleton Fire District 3,rates,Castleton Fire District No. 3 Water Rate Policy,https://www.castletonvermont.org/sites/g/files/vyhlif376/f/pages/cfd3_water_rate_policy.pdf,,https://www.castletonvermont.org/home/pages/castleton-fire-district-3,Supplied by the project lead; the site is Cloudflare-protected so discovery cannot reach it.
Cold Brook Fire District 1,permit,Cold Brook Fire District off East Village Road (2012-065),https://wilmingtonvermont.us/wp-content/uploads/2013/11/2012-065-Cold-Brook-Fire-District-off-East-Village-Road.pdf,2012,https://wilmingtonvermont.us/,Town of Wilmington permit/decision record referencing district infrastructure.
Cold Brook Fire District 1,permit,Cold Brook Fire District off Haystack Road (2012-064),https://wilmingtonvermont.us/wp-content/uploads/2013/11/2012-064-Cold-Brook-Fire-District-off-Haystack-Road.pdf,2012,https://wilmingtonvermont.us/,Town of Wilmington permit/decision record referencing district infrastructure.
East Berkshire Fire District 1,minutes,01/14/2025 Minutes,https://www.berkshirevt.com/uploads/1/3/1/2/131290301/jan_14th_approved_minutes.pdf,,https://www.berkshirevt.com/ebfd1.html,Found by automated discovery on the district's own website.
East Berkshire Fire District 1,minutes,02/12/2026 Minutes,https://www.berkshirevt.com/uploads/1/3/1/2/131290301/skm_c250i26022612270.pdf,,https://www.berkshirevt.com/ebfd1.html,Found by automated discovery on the district's own website.
East Berkshire Fire District 1,minutes,02/26/2026 Minutes,https://www.berkshirevt.com/uploads/1/3/1/2/131290301/skm_c250i26030309560.pdf,,https://www.berkshirevt.com/ebfd1.html,Found by automated discovery on the district's own website.
East Calais Fire District 1,plan,Village of East Calais Source Protection Areas,https://www.calaisvermont.gov/vertical/sites/%7B226D684E-C864-4AFA-B4A5-59BE32741B77%7D/uploads/WATER_DISTRICT_1.pdf,,https://www.calaisvermont.gov/,Source protection area mapping for the East Calais water district.
East Hardwick Fire District 1,bylaws,By-Laws of the East Hardwick Fire District No. 1,https://drive.google.com/file/d/1bro7u0td0QDAxMbMZ0XILOTnTNe6OKGh/view?usp=sharing,2026-05-14,https://ehfd.mystrikingly.com/,Supplied by the project lead. 6 pp. Amended 14 May 2026.
East Hardwick Fire District 1,policy,EHFD #1 Conflicts of Interest and Ethical Conduct Policy,https://drive.google.com/file/d/19h-5hv6JgN-7TnkMiyRol7_CtBM9Momw/view?usp=sharing,,https://ehfd.mystrikingly.com/,Supplied by the project lead. 5 pp.
