district_name,town,district_website,checked_on,notes
Alburgh Fire District 1,Alburgh,,,
South Alburgh Fire District 2,Alburgh,,,
Bakersfield Fire District 1,Bakersfield,,,
Barnet Fire District 2,Barnet,,,
McIndoe Falls Fire District 3,Barnet,,,
Passumpsic Fire District 1,Barnet,,,
Graniteville Fire District 4,Barre Town,,,
East Berkshire Fire District 1,Berkshire,,,
Brandon Fire District 1,Brandon,,,
Tri Town Water District,Bridport,,,
Burke Fire District 1,Burke,,,
East Calais Fire District 1,Calais,,,
Canaan Fire District 1,Canaan,,,
Canaan Fire District 2,Canaan,,,
Castleton Fire District 1,Castleton,,,
Castleton Fire District 3,Castleton,,,
Colchester Fire District 2,Colchester,,,
Coventry Fire District 1,Coventry,,,
Craftsbury Fire District 2,Craftsbury,,,
Danby Mount Tabor Fire District 1,Danby,,,
Danville Fire District 1,Danville,,,
Derby Line Village Water District,Derby,,,
Dorset Fire District 1,Dorset,,,
East Dorset Fire District 1,Dorset,,,
North Branch Fire District 1,Dover,https://www.northbranchfiredistrict.com/,2026-09-08,
Elmore Water District,Elmore,,,
Fairfax Fire District 1,Fairfax,,,
East Fairfield Fire District 1,Fairfield,,,
Fairfield Fire District 2,Fairfield,,,
South Georgia Fire District,Georgia,,,
Grand Isle Consolidated Water District,Grand Isle,,,
Grand Isle Fire District 4,Grand Isle,,,
Greensboro Bend Fire District 2,Greensboro,,,
Greensboro Fire District 1,Greensboro,,,
East Hardwick Fire District 1,Hardwick,https://ehfd.mystrikingly.com/,2026-09-08,
Highgate Fire District 1,Highgate,,,
Huntington Fire District 1,Huntington,,,
Hyde Park Fire District 1,Hyde Park,,,
Irasburg Fire District 1,Irasburg,,,
Jericho Fire District 1,Jericho,,,
Sherburne Fire District 1,Killington,,,
Lunenburg Fire District 1,Lunenburg,,,
Lunenburg Fire District 2,Lunenburg,,,
Lyn Haven Fire District 1,Lyndon,,,
East Middlebury Fire District 1,Middlebury,,,
Norwich Fire District 1,Norwich,,,
Peacham Fire District 1,Peacham,https://peacham.org/peacham-fire-district/,2026-09-08,
Pownal Fire District 2,Pownal,,,
Pownal Fire District 3,Pownal,,,
Richmond Fire District 1,Richmond,,,
Royalton Fire District 1,Royalton,,,
Rutland Town Fire District 1,Rutland Town,,,
Rutland Town Fire District 11,Rutland Town,,,
Rutland Town Fire District 4,Rutland Town,,,
Rutland Town Fire District 5,Rutland Town,,,
Rutland Town Fire District 6,Rutland Town,,,
Ryegate Fire District 2,Ryegate,,,
Sheffield Fire District 1,Sheffield,,,
Cuttingsville Fire District,Shrewsbury,,,
Champlain Water District,South Burlington,,,
South Burlington Fire District,South Burlington,,,
South Hero Fire District 4,South Hero,,,
St George Fire District 1,St George,,,
St George Fire District 2,St George,,,
St Johnsbury Center Fire District 1,St Johnsbury,,,
Stowe Fire District 2 Gold Brook Circle,Stowe,,,
Stowe Fire District 4,Stowe,,,
Winhall-Stratton Fire District 1,Stratton,,,
Vergennes Panton Water District,Vergennes,,,
Wallingford Fire District 1,Wallingford,,,
Washington Fire District,Washington,,,
Waterville Fire District 1,Waterville,,,
Ascutney Fire District 2,Weathersfield,,,
Westfield Fire District 1,Westfield,,,
Westford Fire District 1,Westford,,,
Wheelock Fire District 1,Wheelock,,,
Williston Fire District 1,Williston,,,
Cold Brook Fire District 1,Wilmington,,,
Wilmington Water District,Wilmington,,,
Worcester Fire District 1,Worcester,,,
