source,district_name,charter_chapter,charter_url,matched_pwsid,matched_pws_name,match_score,match_status,has_service_polygon,has_political_bnd
epa_system,EVERGREEN MHP,,,VT0005645,EVERGREEN MHP,,unmatched_system,Y,N
epa_system,BENNINGTON WATER DEPT,,,VT0005016,BENNINGTON WATER DEPT,,unmatched_system,Y,N
epa_system,SPRINGFIELD WATER DEPT,,,VT0005333,SPRINGFIELD WATER DEPT,,unmatched_system,Y,N
epa_system,CHIMNEY HILL,,,VT0005312,CHIMNEY HILL,,unmatched_system,Y,N
epa_system,APPLEGATE APARTMENTS,,,VT0020791,APPLEGATE APARTMENTS,,unmatched_system,Y,N
epa_system,WINHALL STRATTON F D 1,,,VT0005305,WINHALL STRATTON F D 1,,unmatched_system,Y,N
epa_system,BEAR CREEK CONDOMINIUM,,,VT0005563,BEAR CREEK CONDOMINIUM,,unmatched_system,Y,N
epa_system,SOUTH VILLAGE,,,VT0005593,SOUTH VILLAGE,,unmatched_system,Y,N
epa_system,HIGH RIDGE CONDOMINIUM,,,VT0005590,HIGH RIDGE CONDOMINIUM,,unmatched_system,Y,N
epa_system,KARME CHOLING,,,VT0005537,KARME CHOLING,,unmatched_system,Y,N
epa_system,STERLING RIDGE WATER,,,VT0005525,STERLING RIDGE WATER,,unmatched_system,Y,N
epa_system,SUNRISE COMMUNITY WATER SYSTEM,,,VT0005618,SUNRISE COMMUNITY WATER SYSTEM,,unmatched_system,Y,N
epa_system,GREENES MHP,,,VT0005490,GREENES MHP,,unmatched_system,Y,N
epa_system,BRIDGEWATER MILL,,,VT0005419,BRIDGEWATER MILL,,unmatched_system,Y,N
epa_system,WOODSIDE MANOR,,,VT0005404,WOODSIDE MANOR,,unmatched_system,Y,N
epa_system,EDWARD FARRAR UTILITY DISTRICT,,,VT0005284,EDWARD FARRAR UTILITY DISTRICT,,unmatched_system,Y,N
epa_system,MONTPELIER WATER SYSTEM,,,VT0005272,MONTPELIER WATER SYSTEM,,unmatched_system,Y,N
epa_system,RUTLAND CITY WATER DEPT,,,VT0005229,RUTLAND CITY WATER DEPT,,unmatched_system,Y,N
